Id	Source	Target	Developer Note	Max Length	Comment	Xliff Generator Note	NAB AL Tool Refresh Xlf	State	State Qualifier
Page 183101840 - Property 2879900210	Composition Quality					Page Comment Compo. Qlty Header - Property Caption	New translation.		
Page 183101840 - Control 2790486453 - Property 1295455071	Specifies the comment itself.					Page Comment Compo. Qlty Header - Control Comment - Property ToolTip	New translation.		
Page 183101840 - Control 3192175264 - Property 1295455071	Specifies the date the comment was created.					Page Comment Compo. Qlty Header - Control Date - Property ToolTip	New translation.		
Page 183101840 - Action 424208938 - Property 2879900210	Action50184					Page Comment Compo. Qlty Header - Action Action50184 - Property Caption	New translation.		
Page 3432403750 - Property 2879900210	Composition Quality					Page Composition Quality Header - Property Caption	New translation.		
Page 3432403750 - Control 2445482498 - Property 2879900210	General					Page Composition Quality Header - Control General - Property Caption	New translation.		
Page 3432403750 - Action 3000180178 - Property 1295455071	View or add comments for the record.					Page Composition Quality Header - Action Co&mments - Property ToolTip	New translation.		
Page 3432403750 - Action 3000180178 - Property 2879900210	Co&mments					Page Composition Quality Header - Action Co&mments - Property Caption	New translation.		
Page 3432403750 - Action 437337540 - Property 1295455071	Load quality measures					Page Composition Quality Header - Action Load quality measures - Property ToolTip	New translation.		
Page 3432403750 - Action 437337540 - Property 2879900210	Load quality measures					Page Composition Quality Header - Action Load quality measures - Property Caption	New translation.		
Page 2886088051 - Property 2879900210	Composition Quality					Page Composition Quality Headers - Property Caption	New translation.		
Page 2886088051 - Control 739346273 - Property 2879900210	General					Page Composition Quality Headers - Control Group - Property Caption	New translation.		
Page 2886088051 - Action 424208938 - Property 2879900210	Action50184					Page Composition Quality Headers - Action Action50184 - Property Caption	New translation.		
Page 2886088051 - Action 3000180178 - Property 1295455071	View or add comments for the record.					Page Composition Quality Headers - Action Co&mments - Property ToolTip	New translation.		
Page 2886088051 - Action 3000180178 - Property 2879900210	Co&mments					Page Composition Quality Headers - Action Co&mments - Property Caption	New translation.		
Page 805688089 - Property 2879900210	Lines					Page Composition Quality Subform - Property Caption	New translation.		
Page 4231056254 - Property 2879900210	Create Incident					Page Create Incident - Property Caption	New translation.		
Page 4231056254 - Control 3192175264 - Property 1295455071	Specifies the value of the Date field					Page Create Incident - Control Date - Property ToolTip	New translation.		
